comment
" 정령탄 과금에 없으면 사냥안될듯?, "
" 그래서 인게임이어디나와?ㅋㅋㅋㅋㅋㅋ, "
" Из России с любовью!, "
" When is it going to release, "
" 모바일게임은 이제 기대감이 별로없다 주변만봐도 한두달하다 다 접는다 거기서거기다, "
" 주의! 모바일로 플레이한 화면이 아닙니다!, "
" 주식은 한두달은 백퍼오를거같긴한데 사둘까 고민되긴하네, "
" 때쟁 부분은 퀄리티 급떡락하네 ㅋㅋㅋㅋ, "
" 모바일 빠칭코2 나오네, "
" pra PC j?., "
" Dont forget US version please ! \r\rI miss you L2 !, "
" 2019 release for global please ??, "
" 거.른.다, "
" 영상 보면서 검사나 마저 하러 가야겠다 라고 생각함, "
" 최적화 좀 잘하자. 린m처럼 폰 발열 쩔게하지말고., "
" 시발롬들 졵나게 우려먹네 엔씨 뒈져라, "
" 이젠 리니지m으론 부족해서 다양하게 뽑아먹을라하네, "
" 리니지m으로 재미좀봤다이거지ㅋㅋ, "
" 호구들이 저기다 얼마나지갑전사을 할지 ㅎㅎ, "
" 이제 사람들이 알겠지  엔씨겜 돈많은 부자들만하는게임, "
" 응 안해, "
" 디아블로탈모임 게섯거라, "
" 이걸로는 또 얼마나 뜯어낼까..??현질 없이는 게임의 재미를 느끼지도 못하는 우리나라 국산 RPG zz넌덜머리 난다, "
" 제2차 해방전쟁각?, "
" жду эту игру больше чем свою свадьбу, "
" 엔씨가 린지2레볼 버린거 같은 기분이지 왜, "
" 넷마블이 굴리는건데 린2레볼은.왜엔씨에게 ㅋㅋ, "
" 엔씨가 린지2레볼 버린거 같은 기분이지 왜, "
" 린2레볼은 넷마블껀대요 ㅡㅡ? IP만 빌려준거에요, "
" 이건 그냥 리니지2 레볼루션이랑 다른게 없잖아;; 나같으면 리니지m한다 차라리 리니지m이 더 친근하다., "
" Plz no movil versi?n and no f2p... This Sistem kill L2 now... I remember old good time c1 - interlude...F2P... X.x, "
" download bluestacks or nox and play on pc, "
" 여러분 이거다~아  캐쉬템사야  되는거  아시지요!!, "
" 안나왔으면 좋겠다. 나와도 금방 망했으면 좋겠다. 게임같지도 않은 쓰레기 게임. 그리고 이런 게임을 하는 쓰레기들...., "
" 세상에 불만있음??, "
" 리니지엠을통해 드랍률이며, 확률이며 이만큼을해야 돈을많이버는구나 깨닿고만든게임이기에 과금스타일 벌써부터상상되니 하기싫다. 그냥 사전예약도안하겠음.  정신차릴때까지 과금들을안해줘야 정신을차릴텐데..할사람들이있을태니 그것이 분할뿐이다, "
" \모바일=과금=패가망신\ 해보기야 하겠지만, 과금유도하면 바로 끈다. 가끔가다 게임사를 위해서 어느정도 과금은 해야지 하는 병신들 있는데, 지들이나 열심히 돈 쓰라 그래. 난 스팀에서 명작 게임 할인받아 사서 아주 재밌게 즐길 거니까., "
" 제발 남엘프 만들어주세요, "
" 게임은 항상 그시대에 초월급으로 잘 뽑음 리니지2나 블소를 보면 그렇듯문제는 니네 사업팀이지...골수유저들 지존급으로 하던 유저들 조차 등돌리게 한 사업성 니네 캐쉬템이 문제지아깝긴하다... 리니지2 라면 애정이 많이 가던 겜인데 지금 하는짓 보면 별반 다를게 없을듯, "
" Чем занимается сечас ncишка? Расскажи, ничего не понимаю!, "
" 총알준비해야지...ㅌ, "
" 50만원 과금제한 걸려라, "
" 거기에 드워프는 있지도 않네, "
" 네 종족별로 성별 자유도 없지요휴먼은 남자밖에엘프는 여자밖에다엘은 남자밖에오크는 남자밖에신캐는 여자밖에제일 기본을 못하는 젖망겜, "
" 드워프는요??, "
" RELEASE MY GOD DAMN LINEAGE III ON PC ALREADY AND NOT THIS BS !, "
 ?????? ????? ????? ???? ????????????? ( discord ) ?? ?????? ????? ???? ? ???????? ???? ??? ????????? ? ???? ? ????? ??? ????? ??????? ? .. ??????? ??? 
" 넷마블 리니지2레볼루션 망했네 ㅋㅋㅋㅋ, "
" Thats how a mobile game should look, not like a disastrous Diablo Immortal. Well done NCsoft, i'm so excited, can't wait for release ??, "
" 개쓰레기 시발 쳐마왜라 핵과금겜, "
" 이젠 모두가 알고 있지 믿고 거르는 엔씨게임, "
" Good luck ??, "
" Right, who cares about the official game? It's much easier to get money releasing mobile cash grab trash that most of the players quit after 1-2 months of heavy expenses. Because that's how mobile games work, they throw a bunch of ''buy this and get several bonuses, now buy this, and now this...'' in your face.I lost all my hope for NC Soft long ago.. This company also have epic games like GW2, Wildstar, AION, and the playerbase of all these games are also disappointed and dying.. Damn, you guys can't do anything right., "
" 리니지m 6개월만에1조뽑아쳐먹엇다ㅋ이거할사람들 하나만알고해라.월천만원씩과금해도 필드서줘털리는 양민신세다ㅋㅋㅋ, "
" 진짜가 온다 얼마나 얼마나 뽑아 먹을려고, "
" 어딘가있을뜻한 리니지2  초기뿌린 클라이언트C.D보유함 쓸모없지만, "
" 리니지2유저넘어올뜻 온라인게임 총서버3개이하 축소할뜻, "
" All new NCSoft games are for mobile....So... Good Bye, "
" Another mobile shit, thanks god I have Maple Story 2, "
" did this version have the summoner  (elemental master)  ?, "
" Finally, "
" はよ?て～, "
" То самое чувство когда PC версия смотрится в 100 раз хуже. Интересно новый IPad потянет такие красоты..., "
" Wow! Even lags during mass pvp like in old L2!), "
" 그래봐야 린엠마냥 과금겜이지, "
" l2 +  aion attack system = Super L2, "
" Not a word about project TL though =(, "
" ?しみ！, "
" Plz answer will this be playable on PC will it still have an open seamless world without loading screens anywhere will it still have the same focus as the old classic L2 on mass PvP/Clan wars/Sieges etc ???  there is so many questions argh.. we need to know more!, "
" We have to wait for the release next year. They introduced as you said; the open seamless world, realistic graphic, and the PvP system etc. and I believe it will be come true. hah.. Anyway it is adaptable on mobile not PC. You may can use the application that emulates the mobile on your PC., "
" At the end  of the video and even in the name at the end says \lineage2m\ so the \M\ i guess is mobile, do not set ur hopes that high, they are not that smart to see that the community of lineage 2 classic deserves a remastered or a rework with better graphics, "
" It's way easier to get money releasing mobile cash grab trash that most of the players quit after 1-2 months of heavy expenses. Because that's how mobile games work, they throw a bunch of ''buy this and get several bonuses, now buy this, and now this...'' in your face. Now the true fans of Lineage still have an outdated engine with a low population pay2win game in which 1/3 of the online 'players' are probably bots.. 'Oh but we have Classic now'. Yeah, classic is OKish for now(already have waves of bots everywhere I go), but it's just a matter of time till it shares the same fate., "
" This gonna be for Mobile.But we gonna have Lineage 2 Classic for PC.Wich is best thing after c4/c5 in my opinion.Cheers, "
" @Druk Lezaj Man, Classic NA is out for more than a month already. And unfortunately, as I mentioned in my previous comment, it has waves of bots and adena sellers everywhere.., "
" @Sem Ideia So we can play some private L2 Classic server.L2topzone,l2hopzone offers a lot of them., "
" @Sem Ideia Latest servers that I've been playing are l2warland since opening for about 2-3 years its Interlude l2off server,also been playing on faction private server l2cvo..It has bots..but what can we do., "
" I hope there will be an english version of this game soon that wont wait 1 year before they release, "
" 돈빨려주는호구가잇어서가능그냥안하는게답 ㅋㅋ무슨놈에rpg게임이 사냥해서좋은템먹서옵글하는게아니고 시즌별로 캐쉬템이더좋으니 ㅋㅋ할필요가없음 그돈으로 다른거하는게나음, "
" 거른다는 사람들 100% 한다 ㅋㅋㅋㅋ으휴 답답이들. 개돼지근성 세살버릇 여든간다. 그냥 거른다고 말도 없이 무조건 한다는 사람은 NC의 개돼지 레이드., "
" 잘 보고 갑니다., "
" 도.박.장.신.설.확.장, "
 Attention 
" 광고보소 미쳤나 비추하고  바로 나갑니다, "
" 아직 이런 개돼지나 하는게임 하는사람 있음?, "
" Nc때돈벌겠네............이젠 모바일 시장1위 되겠네......, "
" 그지같은것들 아직하는 사람들이 더 신기하다, "
" 이ㅏ라에서 없어져야할 게임사, "
" 엔씨면 그냥 걸러야지, "
" 확실히 엔씨는 시대에 뒤쳐지네. 이젠 많은 시간을 들여 캐릭터 노가다를 해야하는 RPG 게임들은 내리막임., "
" 리니지m 혼자서 1년 8개월간 매출 1위 찍고 한번도 1위 안뺏기고 잇는대 무슨 시대를 뒤쳐짐, "
" 제발 엔씨...돈 ㅈㄹ그만하고 지금 운영중인 블소나 좀 살려내라........돈있는것들이 되려 더하네.......잘좀하자!!!엔%-, "
" 엔씨는 알까 2000년도 초반 린2처음출시 하고나서 계속인기있었던이유를...그당시는 요즘처럼 과금이라고 해봤자 월정액이 다였음..그리그 유저는 노력(플레이시간 및 파티플 , 레이드)하는만큼 좋은 장비맞출수 있었고...그 당시 그느낌으로 출시해준다면 성공할텐데...혼자만의 바람이지만 쩝; 그때 린2는 정말 너무도 재밌었음.린1팬들과 린2팬들이 나뉠정도였으니까.., "
" 지금 개성공햇는대여..비유해드릴게여도박성 과금유도 안할대는 1000명 당 유저대리고 3천만원 벌엇다면지금 도박성 과금유도로 100명한태서만 3억식 벌고잇는대 유저수가 줄엇다고 해서 게임망하는거아님. 적은 그 유저가 미친놈들 마냥 과금을 해대니 절대안망하고 수익구조가 더 활발한지금 엔씨가 과거로 돌아갈 이유 1도 없습니다. 헛된 희망 가지지말고 그냥 엔씨 거르세요. 절대 괴거로 안돌아기고 절대적으로 과금유도 도박성 으로 할거에요, "
" 거른다는 사람들 시작은할걸? ㅎ 엔씨 겜은분명 잘만든다. 개같은 과금정책만 고쳐진다면 좋으련만.나도 하다가 결국 과금땜에 접고말겠지, "
" 리니지1 모바일  보면  얼마나 과금 유발할지  보인다, "
" Пока до России доберётся будет не актуальна уже =( и это мобилки, "
" Ну бля 2к7 , 2к19 нихуа не поменялось и музыка та же, "
" Jeez... L2M? Srsly? Better make lineage 3 (not fucking ethernal), instead of add new updates to GOD or Classic client..., "
" VAI SER TOP!!!!, "
" новая линейка неужели я доживу до этого момента? эх сколько приятных воспоминаний, "
" Если иннова будет иметь права на эту версию, это будет говно полное, "
" Она на телефоны будет, "
" Для этих мудаков это уже не игра, а метод заработать "
" This is sad Ncsoft s just running out of idea or the old developers team just left, 90% of these titles are mobile games already and it doesn't even look intriguing one bit. All ncsoft can do now is milk out their former glory., "
" we wait many years for the continuation, now u tell me Aion 2 is a mobile game?????????? GO FK URSELF NCSOFT!!!!!!!!!!!!!!, "
" 2019 ~ 2020년  출시할 예정 모바일게임카발 모바일 MMORPG 실크로드   MMORPG프리스톤테일L  MMORPG (카카오게임)데카론 M  _ MMORPG아이온 레기온즈  MMORPG디아블로 이모탈 (2019.5월경 정식오픈), "
" 데카론m언제나오나요, "
" @어렴풋이그대 2020년쯤에 나오겠죠, "
" 현재 리니지2  아덴섭 안해 봤음 말을 마세요.캐쉬템 안사먹으면 아덴도 십분의 일수준 경치도  칠,팔분의 일정도. 미친듯이 키운다면 하루 다른거 제외 사냥만으로도 캐쉬템 47000원 씁니다. 그냥 즐긴다면 이만원 템으로 일주일정도 즐기구요. 지금 제가 말한건 다른 확률성 캐쉬템이 아닌 사냥가기 위한 캐쉬 최소템 입니다, "
" 리니지2 테마곡 10년이 지나도 잊을수가 없네 ㅋㅋㅋ, "
" 아이온.... 내 인생 겜이였었는데...미안하다. 거르고 본다..., "
" 게임만 잘만드면 뭐할까요? 운영을 잘해야져. 린2 재미있게 하고 있었는데 돈에 눈먼 운영때문에  접었져. 현질은 적당히 하고 운영 뭣하면 빠져야되니까여, "
" 게임을 좀 즐기는 유저라면 엔씨 게임은 안하지...왜냐? 돈없이는 게임 자체를 못하게 만드니까 린m은 현금 1~2억 들여도 좆빱 소리듣는다며?, "
" 코묻은 유저들 돈까지 다 뺏어야 속이 후련했냐~, "
" 믿고 거르는곳이죠..?ㅋㅋ, "
" Половина русских комментариев. СНГ аудитория огромная, "
" NC_mobile_trash, "
" Блин это же скок ждать пока до нас доберется(((, "
" 진심 개노답  엔씨 ㅋㅋㅋㅋㅋ모바일게임에 몇십억씩  현실해야 변신케릭하나 뽑는 게임 ㅋㅋㅋㅋㅋㅋ신화케릭 최소 십억~이십억 ㅇㅈ??ㅋㅋㅋㅋㅋㅋㅋ, "
" 엔씨게임인걸 생각 했을때 설치도 안하는게 답., "
" L2 mobile sucks! Do Lineage 3!!, "
" 린애미 나오기전에 모바일겜에 5만원 3만원 충전하는것도 벌벌떨면서 했던 내가 린애미 1년반차 10만원 20만원 그냥 우습게 충전하는 습관이 생김 엔씨게임은 하지도 쳐다도 보지말란 린저씨들의 말씀이 맞음, "
" Давайте создайте Новую Л2 для PC. нас много туда пойдет с БДОшной механикой она зайдет на ура, "
" 아니 시 블소는 몇개가 나오는거야, "
" 현질유도 안봐도 뻔하고 양산형도 눈이 회사가 망해도 꼭 넣을거야....그러니 하지마 저거... 인기 좀 얻으면 자신만만해져서 오히려 더 악화돼..., "
" 역시 MMORPG는 NC가 답., "
" Мурашки от музыки вначале ..., "
" Когда у нас будет, "
" Наверное первое время на Китае мучиться будем, "
" Rizrael S на Корее *, "
" 무슨게임이든.. 모바일이란게 pc만큼의 감동은 없지..., "
" 리니지m 6천억 벌었다는데 아직도 이벤다운이벤은 보이지도않고 유저들만줄고 하는데 앞으로 나오는 엔씨게임 이것보다 더하면 더했지 덜하진않을듯.. 차라리 넷마블이 훨씬나은거같음 린에볼이나 블소에볼만봐도 이벤트차이가 한숨나게 해주네요, "
" 거르고 거르고 또 거르고 진심 거르는게 nc게임 과금요소 사냥못할정도로 뿌려놓는게임, "
" 게임사도 돈벌려고 하는건 맞지만 저건 게임이 아니고 도박판이다, "
" So they are killing Aion to replace it with Aion 2 which kinda looks what Aion vision was supposed to be ., "
" Well, Howard Shore (for Lineage) and Hisaishi Joe(for Aion) still composers?, "
" 린저씨들 접으면 노답게임 앤시, "
" 저런걸 누가해, "
" печалит другое когда это доберется до нас иннова снова обсерет всю атмосферу, "
" везет корейцам, "
 https
 https
" 블소레볼루션 블소M 블소2 블소Sㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ, "
" 개돼지게임 라인업, "
" NC소프트 북미에도 한글로 게임 발매 좀 해줘 현질 준비 완료 되있으니까, "
" 북미에 왜 한글로 게임을 출시하나요.. apk다운받아서 한글서버하세요. 과금도 가능합니다, "
" Нихуя не понял, но очень интересно, "
" ))))))))))))))))), "
 Блин.. мудаки с иероглифами.. опять 
" 엔씨는 안봐도뻔하지... 리니지m 처럼 엄청뽑을라고 현질유도를 첨부터하겠지.. 엔씨는 거르자.., "
" 게임이 잘만들어진게 문제가 아니라 이젠 엔씨는 믿거.....믿고거름...ㅠ, "
" 1. 노트5 아이폰7 언저리 유저들 까지는 지원해야 하기때문에 최적화 이유로 그래픽 다운은 필수적으로 예상해봄. 이유? 고사양폰 유저가 전체 휴대폰 유저중 얼마나 될것인가? 저런식으로 나왔다간 당연히 저사양폰 유저들 게임못함. 게임마니아들 이런걸 졀라 싫어함. 왜? 그딴 싁끼들까지 커버쳐줘야함? 이유? 엔씨는 돈쓴으로도 불리는 기업이니까. 잘만들어놓고 퀄을 낳추것지...2. 그리고 한번에 내놓친 않을껄? 왜냐면 어느정도 단물 빨고 해야는데 서로 치킨겜될수 있는 소지가 조금 있음?3. 돈슨은 일단 돈슨임을 인지들 하셔야하며 야구장운영을 위해... 게임 컨텐츠 제대로 즐기려면 돈을 안쓸수가 없는 구조는 다들 알고 있는 사실임으로. 그렇게 기대가치가 있어 보이는 게임들은 사실 아님., "
" 돈슨은 엔씨가 아니라 넥슨임, "
" 출시 예정작 트레일러  모아놓고  광고 이렇게  많이 넣은게 더 심하네, "
" 개씨발 애미반토막난 애미불고기보지년들 존나 애미만개쳐만드네 애비뒤졌나 애미뒤졌나 좇같은씨발씨발 그만 애미 쳐만들어 씨발좇같은년들아, "
" 믿거 nc  제발 사람 새끼가 돼려면 하지마 NC겜, "
" 택진이형님 좋아했던 게임이 모바일로 나와서 좋긴한데  우리 한방만 보지말고 장기전으로 갑시다. 그게 서로 좋을듯 싶은데 어떻소?, "
" 엔시 추억팔이에  폭망한사람 많던대 ㅋㅋㅋ, "
" 애미터졌네 ㅋㅋ, "
" 겜사 백날 욕해봤자 호갱님이 있는한 안 바뀜?하긴 겜사도 돈 벌고 호갱님들도 지돈내고 즐긴다는데 왈가왈부 할 필요도 없지 뭐ㅋㅋ, "
" 망해라! 그놈의  모바일 양산과  미친 과금의  대명사 돈씨!, "
" 3d로 나오면 리2 해보고 싶네, "
" 엔시껨은 무조건 거르는게 답일듯...100프로 과금이지머...차라리 플스나 스팀하세용..., "
" 사골육수내듯이 우려먹네 아주 그냥, "
" 린2M 언제오픈하나요?, "
" 망해라, "
" 아직도 저 도박게임회사걸 하는 사람 있냐?, "
" 저게 모바일 겜이냐?......ㅎㄷㄷ하다...한국겜이 이렇게나 발전하다니 트레일러부터가 ㄷㄷ 암튼 리니지2 기대합니다!, "
" 겁나 개돼지겜인게 함정, "
" 요즘 엔씨 게임 과금게임 입니다유저들 돈벌이로만 아는것들 할거 없어 아이온 돌려봐는데계정비 없어 지고 vip 시스템 만들어 버리고 전설 변신못하면 던전도 못가네요재미 삼아 할거 같으면 배그 가 답인듯, "
" 슬프게도 계속 과금을 해주는 호구들 덕에 계속 이런식의 운영이 짭짤할 수 밖에 없음, "
" 아이온 검성이 또 짱먹겠지  그리고 장비 패키지   그리고 무과금 유저들 접고 과금 유저들  과금 싸움 하다가 한명한명 접으면서 피씨와 같은 길을 가겠지..제일 짜증나는건 답을 알면서도 추억때문에 아욘2  기다리고 있는 내자신..  엔씨 쉐끼들 겜은 잘만드니까 ㅠㅡㅜ, "
" 안봐도 답나온다. 초반에 소소하게 패키지장비 캐쉬템 내놓고 간보다가 확률성 캐쉬템 뿌리고  레벨업(혹은 pvp소모성아이템)관련 캐쉬템 내놓고 최종적으로 파밍으로는 꿈도 못꾸는 아이템을 캐쉬로 쳐팔아먹고 밸런스 붕괴시키겠지. 지금처럼 운영과 경영하면 저 모든게임 길어야 1년 못넘긴다고 본다, "
" 대충적당히있으면그려려니 하는데 미친듯이 과금쪽으로하니, "
" И шо за ебалу ты там накалякал?, "
" 300퍼센트 인정, "
" 린2 창렬스런 과금만 아니면 한다, "
" 아니겟냐?, "
" 모바일 이이온 좀 웃기넉, "
" 근대 블소 넷마블 꺼 아닌가?, "
" Nc꺼에요 레볼루션이 넷마블, "
" 원래는 nc꺼죠ㅎㅎ넷마블은 쓰레기, "
" 엠게임 꺼, "
" 엔씨는 리니지로 평생 우려먹을듯..., "
" 이러다 최적화소리하면서 점점 내려가지, "
" 트레일러 영상만 봤을때는 리니지2m이랑 블소m이 제일 괜찮게 보이네요~~, "
